DEBUG | 2021-09-18T20:33:26,645 | c.a.c.l.a.ServiceLoggingAspect afterCall 42 | Called ExampleEntityService.add(..) and returning PersistentExampleEntity{id=39, name=Saurabh Pareek}
DEBUG | 2021-09-18T20:33:26,646 | c.a.c.l.a.ControllerLoggingAspect afterCall 42 | Called ExampleEntityController.createEntity(..) and returning DefaultResponse{status=SUCCESS, content=PersistentExampleEntity{id=39, name=Saurabh Pareek}}
DEBUG | 2021-09-18T20:33:50,152 | c.a.c.l.a.ControllerLoggingAspect beforeCall 55 | Calling ExampleEntityController.readEntities(..) with arguments [, Page request [number: 0, size 20, sort: UNSORTED]]
DEBUG | 2021-09-18T20:33:50,153 | c.a.c.l.a.ServiceLoggingAspect beforeCall 55 | Calling ExampleEntityService.findByNameQuery(..) with arguments [, Page request [number: 0, size 20, sort: UNSORTED]]
DEBUG | 2021-09-18T20:33:50,162 | c.a.c.l.a.ServiceLoggingAspect afterCall 42 | Called ExampleEntityService.findByNameQuery(..) and returning Page 1 of 2 containing com.arcelormittal.casestudy.model.persistence.PersistentExampleEntity instances
DEBUG | 2021-09-18T20:33:50,162 | c.a.c.l.a.ControllerLoggingAspect afterCall 42 | Called ExampleEntityController.readEntities(..) and returning DefaultResponse{status=SUCCESS, content=Page 1 of 2 containing com.arcelormittal.casestudy.model.persistence.PersistentExampleEntity instances}
DEBUG | 2021-09-18T20:33:53,751 | c.a.c.l.a.ControllerLoggingAspect beforeCall 55 | Calling ExampleEntityController.readEntities(..) with arguments [, Page request [number: 0, size 20, sort: UNSORTED]]
DEBUG | 2021-09-18T20:33:53,752 | c.a.c.l.a.ServiceLoggingAspect beforeCall 55 | Calling ExampleEntityService.findByNameQuery(..) with arguments [, Page request [number: 0, size 20, sort: UNSORTED]]
DEBUG | 2021-09-18T20:33:53,761 | c.a.c.l.a.ServiceLoggingAspect afterCall 42 | Called ExampleEntityService.findByNameQuery(..) and returning Page 1 of 2 containing com.arcelormittal.casestudy.model.persistence.PersistentExampleEntity instances
DEBUG | 2021-09-18T20:33:53,761 | c.a.c.l.a.ControllerLoggingAspect afterCall 42 | Called ExampleEntityController.readEntities(..) and returning DefaultResponse{status=SUCCESS, content=Page 1 of 2 containing com.arcelormittal.casestudy.model.persistence.PersistentExampleEntity instances}
WARN  | 2021-09-18T20:33:54,067 | o.s.w.s.PageNotFound noHandlerFound 1251 | No mapping for GET /favicon.ico
DEBUG | 2021-09-18T20:33:59,285 | c.a.c.l.a.ControllerLoggingAspect beforeCall 55 | Calling ExampleEntityController.readEntities(..) with arguments [Saurabh, Page request [number: 0, size 20, sort: UNSORTED]]
DEBUG | 2021-09-18T20:33:59,286 | c.a.c.l.a.ServiceLoggingAspect beforeCall 55 | Calling ExampleEntityService.findByNameQuery(..) with arguments [Saurabh, Page request [number: 0, size 20, sort: UNSORTED]]
DEBUG | 2021-09-18T20:33:59,289 | c.a.c.l.a.ServiceLoggingAspect afterCall 42 | Called ExampleEntityService.findByNameQuery(..) and returning Page 1 of 1 containing com.arcelormittal.casestudy.model.persistence.PersistentExampleEntity instances
DEBUG | 2021-09-18T20:33:59,290 | c.a.c.l.a.ControllerLoggingAspect afterCall 42 | Called ExampleEntityController.readEntities(..) and returning DefaultResponse{status=SUCCESS, content=Page 1 of 1 containing com.arcelormittal.casestudy.model.persistence.PersistentExampleEntity instances}
DEBUG | 2021-09-18T20:33:59,581 | c.a.c.l.a.ControllerLoggingAspect beforeCall 55 | Calling ExampleEntityController.readEntities(..) with arguments [Saurabh, Page request [number: 0, size 20, sort: UNSORTED]]
DEBUG | 2021-09-18T20:33:59,582 | c.a.c.l.a.ServiceLoggingAspect beforeCall 55 | Calling ExampleEntityService.findByNameQuery(..) with arguments [Saurabh, Page request [number: 0, size 20, sort: UNSORTED]]
DEBUG | 2021-09-18T20:33:59,585 | c.a.c.l.a.ServiceLoggingAspect afterCall 42 | Called ExampleEntityService.findByNameQuery(..) and returning Page 1 of 1 containing com.arcelormittal.casestudy.model.persistence.PersistentExampleEntity instances
DEBUG | 2021-09-18T20:33:59,586 | c.a.c.l.a.ControllerLoggingAspect afterCall 42 | Called ExampleEntityController.readEntities(..) and returning DefaultResponse{status=SUCCESS, content=Page 1 of 1 containing com.arcelormittal.casestudy.model.persistence.PersistentExampleEntity instances}
DEBUG | 2021-09-18T20:34:14,857 | c.a.c.l.a.ControllerLoggingAspect beforeCall 55 | Calling ReportController.getPdfReport(..) with arguments [org.apache.catalina.connector.ResponseFacade@4c3f0958]
DEBUG | 2021-09-18T20:34:14,861 | c.a.c.l.a.ServiceLoggingAspect beforeCall 55 | Calling ExampleEntityService.getAllEntities() with arguments []
